 x,     y,    z,     r,    vx,   vz,  mode # LAND(2) WAYPOINT(3)
 1.80,  0.00, 1.20,  0.00, 0.55, 0.5, 0
 1.80,  0.00, 1.20,  0.00, 0.55, 0.5, 0 #check any problem with taking off
 1.80,  2.23, 1.20, -0.20, 0.55, 0.5, 3
 1.80,  3.23, 1.20,  0.20, 0.55, 0.5, 3 #check ccw
 1.80, -1.00, 1.20,  0.00, 0.55, 0.5, 3
 1.80,  2.23, 1.20,  0.20, 0.55, 0.5, 3
 1.80,  3.23, 1.20, -0.20, 0.55, 0.5, 3 #cehck cw
 1.80, -1.00, 1.20,  0.00, 0.55, 0.5, 3
-1.00,  0.00, 1.20,  0.00, 0.55, 0.5, 0
 0.50,  0.00, 1.20,  0.00, 0.55, 0.5, 0
 0.50,  0.00, 1.20,  0.00, 0.55,-0.5, 2 #check land
 2.00,  0.00, 1.20,  0.00, 0.55, 0.5, 0
 2.00,  2.00, 1.20,  0.00, 0.55,-0.5, 0

